DAT;TEMP;TEMPGL;ALLOKRLM;ALLOKSLP;RLMEE;RLMEEFW;RLMKORR;RLMKORREE
01.01.2016;3,63;2;563136;644472;432523;337770;479156;384403
02.01.2016;-0,47;0;646248;834360;499952;405252;561876;467176
03.01.2016;-1,51;-1;707352;876264;534164;441912;616625;524373
04.01.2016;-0,13;-0,29;772632;811752;563289;470669;684650;592030
05.01.2016;-1,14;-0,88;769464;903216;575197;482183;680970;587956
06.01.2016;-2,61;-1,81;752136;906912;586007;491318;676527;581838
07.01.2016;1,28;-0,17;757800;846792;557559;462884;669580;574905
08.01.2016;1,49;0,71;613392;782712;495112;401851;580277;487016
09.01.2016;0,98;0,92;642840;809232;510440;417601;571181;478342
10.01.2016;4,39;2,89;609552;664512;469753;375170;530585;436002
11.01.2016;3,65;3,35;607248;667224;455283;362065;534529;441311
12.01.2016;4,05;3,78;596832;671328;451774;357263;529860;435349
13.01.2016;2,8;3,35;651168;712704;477238;383633;562675;469070
14.01.2016;1,9;2,54;640248;752760;475707;381127;562115;467535
15.01.2016;0,68;1,51;650616;801456;485624;391253;568603;474232
16.01.2016;-0,4;0,41;642912;837744;495978;401287;558001;463310
17.01.2016;-2,27;-1,1;687672;903600;533323;438573;609501;514751
18.01.2016;-5,04;-3,3;790872;998928;577007;481220;701398;605611
19.01.2016;-3,47;-3,52;785184;987552;554414;459702;670288;575576
20.01.2016;-0,74;-2,14;718512;891432;534005;439297;636128;541420
21.01.2016;-6,07;-4,23;794640;1040736;567471;472756;688527;593812
22.01.2016;-2,09;-3,06;794448;940440;567831;473116;681421;586706
23.01.2016;4,37;0,91;640176;678480;478990;384355;543638;449003
24.01.2016;4,27;2,76;588096;689688;447023;352451;505689;411117
25.01.2016;5,8;4,68;539256;606936;403103;308612;467596;373105
26.01.2016;8,33;6,85;521064;465144;389911;295456;446591;352136
27.01.2016;10,41;8,83;482544;327744;374057;279624;426800;332367
28.01.2016;5,69;7,31;497688;529848;408460;313976;463967;369483
29.01.2016;7,19;7,3;595392;500760;458142;337358;524503;403719
30.01.2016;6,19;6,67;607992;503184;478195;336405;530659;388869
31.01.2016;5,3;5,82;619632;574560;491107;349224;548278;406395
01.02.2016;10,9;8,53;574560;342672;441651;298358;497655;354362
02.02.2016;8,03;8,31;572208;434256;407743;287429;487194;366880
03.02.2016;4,79;6,5;644064;586416;474926;354320;569226;448620
04.02.2016;3,78;5,09;668904;636216;487014;345557;587673;446216
05.02.2016;6,38;5,58;640440;535488;485852;359243;562453;435844
06.02.2016;7,7;6,63;574104;467376;455756;315889;500380;360513
07.02.2016;7,95;7,4;584928;452376;455240;315099;511244;371103
08.02.2016;8,01;7,84;632400;438264;464590;323568;553104;412082
09.02.2016;6,86;7,37;639576;490968;474300;333479;562970;422149
10.02.2016;4,78;5,98;636264;588888;490967;349142;563943;422118
11.02.2016;3,79;4,74;637944;631320;488943;354152;564868;430077
12.02.2016;2,24;3,3;658872;707616;493604;355116;582191;443703
13.02.2016;2,93;2,98;620760;684984;473287;367646;534702;429061
14.02.2016;3,63;3,27;579216;660960;439217;344564;504249;409596
15.02.2016;1,8;2,47;650016;753648;484706;389760;588391;493445
16.02.2016;-0,14;1,08;705696;822336;512456;417695;636056;541295
17.02.2016;1,07;1,02;741144;785496;551912;434814;662791;545693
18.02.2016;1,57;1,22;716352;767664;536259;395343;634345;493429
19.02.2016;2,39;1,83;624264;737232;474194;364564;554724;445094
20.02.2016;7,22;4,77;576432;505848;437516;342863;495642;400989
21.02.2016;10,38;7,88;509784;365040;391379;296901;439035;344557
22.02.2016;6,54;7,38;601488;512400;424812;330321;527870;433379
23.02.2016;3,92;5,7;664464;630576;491383;371596;585347;465560
24.02.2016;2,19;3,78;689664;698640;515757;375439;611080;470762
25.02.2016;1,56;2,37;683880;761448;523619;386760;616560;479701
26.02.2016;0,51;1,24;722184;800640;538612;401933;638355;501676
27.02.2016;1,06;1,06;626616;777504;476621;365444;546596;435419
28.02.2016;1,78;1,4;618744;746640;473519;380826;542004;449311
29.02.2016;0,97;1,17;724824;795792;510926;410677;633654;533405
01.03.2016;2,19;1,73;663120;763200;479774;384063;597234;501523
02.03.2016;4,35;3,15;624960;643440;454099;359437;551377;456715
03.03.2016;2,02;2,59;604392;732600;451954;358184;534742;440972
04.03.2016;3,73;3,25;574920;663360;430522;338350;507010;414838
05.03.2016;4,76;4,09;540600;607992;420496;325865;467111;372480
06.03.2016;3,8;3,93;589608;646608;443457;349325;505908;411776
07.03.2016;2,4;3,18;649392;723192;454418;360636;561769;467987
08.03.2016;2,63;2,87;643680;696768;451907;360298;550864;459255
09.03.2016;3,1;2,93;607008;697080;422567;333528;528674;439635
10.03.2016;3,38;3,14;613728;671016;450588;355851;534694;439957
11.03.2016;2,99;3,08;615672;690672;456477;361745;536123;441391
12.03.2016;2,74;2,92;595752;678936;458247;365298;517490;424541
13.03.2016;1,68;2,25;563640;741480;409364;350063;486477;427176
14.03.2016;3,45;2,85;566808;683400;403230;335355;491102;423227
15.03.2016;4,26;3,6;548832;640368;384984;321180;493337;429533
16.03.2016;2,93;3,27;584856;693408;407021;338543;507165;438687
17.03.2016;4,52;3,99;515400;615264;350635;302033;441394;392792
18.03.2016;6,2;5,19;527112;540864;363621;314665;446241;397285
19.03.2016;5,6;5,44;470208;553776;340326;293239;395111;348024
20.03.2016;5,88;5,76;504624;549600;350490;305858;429798;385166
21.03.2016;6,27;6,07;581232;531696;412926;331013;504872;422959
22.03.2016;5,78;5,91;570168;557112;436126;327612;515339;406825
23.03.2016;5,09;5,48;583392;575208;441861;332252;515468;405859
24.03.2016;6,19;5,85;565344;543288;415402;307274;494304;386176
25.03.2016;7,03;6,46;506496;506736;390767;296195;439548;344976
26.03.2016;7,67;7,13;449972;439185;343504;248981;378975;284452
27.03.2016;7,46;7,37;478608;451032;363485;272881;411846;321242
28.03.2016;9,48;8,54;484248;361272;361489;266985;406801;312297
29.03.2016;8,05;8,33;497016;430824;394230;286777;465635;358182
30.03.2016;8,37;8,37;475368;416544;388499;277734;455455;344690
31.03.2016;6,25;7,27;504912;513552;405383;294345;486493;375455
01.04.2016;6,35;6,71;498456;516408;380909;276994;432690;328775
02.04.2016;8,82;7,79;447792;398616;344908;250350;379122;284564
03.04.2016;12,92;10,51;397464;245112;299647;205373;325728;231454
04.04.2016;14,16;12,6;382248;204024;284105;184255;312887;213037
05.04.2016;14,53;13,84;384792;184536;283798;186747;315629;218578
06.04.2016;11,31;12,66;417240;265656;307552;201486;340612;234546
07.04.2016;8,14;10,24;468120;396024;348798;237652;392428;281282
08.04.2016;7,77;8,79;456888;414528;337023;233990;381764;278731
09.04.2016;8,99;8,71;426360;372984;315454;220886;350075;255507
10.04.2016;8,03;8,26;428400;412728;326041;231498;362848;268305
11.04.2016;9,35;8,84;452328;372864;355436;244889;408377;297830
12.04.2016;11,41;10,25;417216;285696;307314;203747;344495;240928
13.04.2016;11,6;11,01;408168;295104;306278;206040;340440;240202
14.04.2016;9,2;10,14;457104;364104;341636;231120;388852;278336
15.04.2016;10,46;10,34;438192;314976;324025;221692;366988;264655
16.04.2016;11,26;10,79;323592;288696;228772;164130;259603;194961
17.04.2016;7,36;8,94;313080;438720;208345;206386;244015;242056
18.04.2016;9,22;9,08;373752;377064;253091;215661;299202;261772
19.04.2016;8,92;8,95;406008;389064;286571;222904;333556;269889
20.04.2016;7,23;7,95;410448;470496;288891;225165;335273;271547
21.04.2016;8,9;8,48;384792;391560;265488;203270;310633;248415
22.04.2016;8,49;8,46;387480;404328;262844;206551;306327;250034
23.04.2016;5,89;7,07;409344;521520;287642;240102;328229;280689
24.04.2016;4,96;5,94;428544;566016;309314;261777;354277;306740
25.04.2016;5,84;5,79;435264;543192;319015;255778;370281;307044
26.04.2016;5,51;5,55;474912;565584;331149;267798;385374;322023
27.04.2016;6,08;5,82;487848;544656;342005;277877;400955;336827
28.04.2016;6,51;6,22;449688;518592;321888;257749;374709;310570
29.04.2016;8,78;7,6;395592;413448;274693;219309;325641;270257
30.04.2016;9,95;8,92;345312;348840;240404;192862;272956;225414
01.05.2016;10,45;9,83;332376;320088;227831;180298;258304;210771
02.05.2016;11,32;10,74;335544;278880;226639;170130;263578;207069
03.05.2016;10,22;10,53;325320;313272;234306;181403;266622;213719
04.05.2016;8,9;9,68;365592;366720;257146;196906;287828;227588
05.05.2016;11,53;10,64;304128;272496;210943;163403;232017;184477
06.05.2016;14,49;12,67;271440;186000;179564;132024;201846;154306
07.05.2016;15,13;14,06;249264;158736;163703;119699;182097;138093
08.05.2016;15,2;14,84;251184;149400;159873;116204;178892;135223
09.05.2016;15,84;15,48;247536;134112;154842;112561;181708;139427
10.05.2016;16,28;15,94;241248;121128;144654;104142;168591;128079
11.05.2016;16,47;16,25;217680;118032;140160;102435;165374;127649
12.05.2016;16,43;16,38;213336;120552;140188;100623;164578;125013
13.05.2016;14,49;15,39;257208;155688;151308;112044;186753;147489
14.05.2016;10,25;12,62;337896;283056;210181;163602;265192;218613
15.05.2016;9,8;10,99;367752;314616;233286;185754;291630;244098
16.05.2016;9,87;10,21;347016;318960;226582;179048;269722;222188
17.05.2016;10,65;10,3;324840;311832;232254;171969;270984;210699
18.05.2016;13,55;12,04;311448;215832;197607;166031;243737;212161
19.05.2016;14,86;13,62;312720;178968;183607;133774;242655;192822
20.05.2016;16,1;15,07;281688;146904;154778;109872;206374;161468
21.05.2016;17,05;16,27;189672;119880;85067;76718;124784;116435
22.05.2016;20,39;18,56;155424;81696;69558;69558;94739;94739
23.05.2016;17,49;18,11;190896;107856;91260;78699;120660;108099
24.05.2016;14,26;16,12;264216;153024;181426;145521;216573;180668
25.05.2016;16,03;16,04;287832;127368;187124;135478;218579;166933
26.05.2016;15,56;15,64;242712;136104;151662;108702;176420;133460
27.05.2016;15,42;15,46;251472;146640;152650;112275;177626;137251
28.05.2016;17,92;16,81;213864;105480;127228;90404;141105;104281
29.05.2016;19,15;18,09;202128;90336;119335;88864;134650;104179
30.05.2016;18,78;18,54;193368;90720;108340;81293;127865;100818
31.05.2016;19,71;19,27;172440;83760;107376;77635;127409;97668
01.06.2016;17,11;18,16;203256;108384;117041;87524;137910;108393
02.06.2016;18,49;18,3;213024;93048;118755;86929;142281;110455
03.06.2016;17,96;18,1;186000;97416;104899;77073;126454;98628
04.06.2016;18,95;18,5;161736;86520;101552;78194;115516;92158
05.06.2016;20,05;19,37;174768;78744;100234;73919;112408;86093
06.06.2016;18,78;19,09;187416;88488;98939;74617;116481;92159
07.06.2016;18,99;19,07;189288;89976;97193;74079;117392;94278
08.06.2016;18,8;18,93;151728;88080;100785;76228;118759;94202
09.06.2016;16,02;17,34;186720;121320;113451;84164;133515;104228
10.06.2016;15,52;16,32;205512;139104;121911;88421;139026;105536
11.06.2016;15,61;15,85;186840;136872;109716;81598;123774;95656
12.06.2016;17,01;16,37;196104;113544;122843;91404;140690;109251
13.06.2016;16,11;16,24;221328;126936;127157;94095;147897;114835
14.06.2016;16,67;16,5;213864;120504;127190;92957;146493;112260
15.06.2016;15,94;16,23;214440;129768;128959;95371;150795;117207
16.06.2016;18,1;17,2;191208;101472;122089;89264;142567;109742
17.06.2016;15,38;16,27;196944;139296;132843;98385;154479;120021
18.06.2016;16,85;16,56;194568;114480;124550;91146;138949;105545
19.06.2016;15,23;15,87;220704;143424;137268;102431;153900;119063
20.06.2016;17,38;16,6;198096;110760;120687;86762;140576;106651
21.06.2016;18,58;17,7;198408;94920;110623;80788;128654;98819
22.06.2016;19,79;18,84;193032;83616;102584;76576;121057;95049
23.06.2016;23,93;21,68;178008;63048;91962;67704;110364;86106
24.06.2016;25,75;23,99;163344;57600;83168;63574;99403;79809
25.06.2016;20,11;22,1;164976;71736;83503;60938;97844;75279
26.06.2016;17,9;19,94;175800;92592;97246;78366;111381;92501
27.06.2016;18,32;18,94;170784;91344;96530;71941;112994;88405
28.06.2016;17,55;17,97;161112;104496;89555;64572;125254;100271
29.06.2016;18,66;18,27;195168;90312;90838;71796;138239;119197
30.06.2016;18,96;18,65;187056;88584;93003;70816;134280;112093
01.07.2016;20,84;19,83;165312;75000;90957;69255;117516;95814
02.07.2016;15,98;17,85;172608;119472;99297;75854;129207;105764
03.07.2016;15,84;16,75;189912;118584;109778;84225;126965;101412
04.07.2016;17,35;17;187032;105480;109016;82622;128017;101623
05.07.2016;18,11;17,46;155136;97128;87220;66174;105608;84562
06.07.2016;15,54;16,49;162912;136776;106213;79779;127917;101483
07.07.2016;17,06;16,81;233880;110688;158145;112282;178810;132947
08.07.2016;18,74;17,82;165216;92472;94187;58889;112765;77467
09.07.2016;18,9;18,39;189456;89424;115228;78607;130486;93865
10.07.2016;23,25;21,08;169368;64152;101658;70229;111671;80242
11.07.2016;21,41;21,39;184944;70008;107107;72616;122274;87783
12.07.2016;19,71;20,58;168456;79944;84738;62260;103948;81470
13.07.2016;17,37;18,92;185232;102048;94988;69679;118871;93562
14.07.2016;15,73;17,08;217440;129072;121633;84936;147133;110436
15.07.2016;15,17;15,92;213576;141240;123682;93435;142259;112012
16.07.2016;18,56;17,2;171960;95376;98772;74184;110921;86333
17.07.2016;18,96;18,13;167808;88080;95714;72044;107255;83585
18.07.2016;19,7;19,05;218712;84960;136546;99407;150772;113633
19.07.2016;20,01;19,69;180432;80352;103177;63427;112550;72800
20.07.2016;22,83;21,4;157272;64848;97105;63179;107725;73799
21.07.2016;21,37;21,47;184368;71208;108825;71398;120471;83044
22.07.2016;22,25;21,94;176088;64776;99575;66030;110936;77391
23.07.2016;21,72;21,89;156912;66768;83034;60694;90236;67896
24.07.2016;22,97;22,43;126960;62352;81106;60633;90324;69851
25.07.2016;22,93;22,73;124248;62928;98327;67562;107565;76800
26.07.2016;21,11;21,88;124488;69984;98116;68555;110341;80780
27.07.2016;20,1;20,94;131064;76728;107463;69979;120105;82621
28.07.2016;20,75;20,77;129648;72384;105787;72506;119136;85855
29.07.2016;20,3;20,45;134376;75864;111292;74912;123138;86758
30.07.2016;20;20,19;134160;75720;114278;74137;124092;83951
31.07.2016;18,88;19,49;136392;84936;111858;75724;123374;87240
01.08.2016;17,5;18,39;156240;99624;123984;82595;139759;98370
02.08.2016;16,8;17,48;156984;112680;120296;83026;139724;102454
03.08.2016;18,65;18,02;124152;92232;100859;73402;113120;85663
04.08.2016;19,63;18,85;127104;83256;99964;74699;115405;90140
05.08.2016;18,15;18,52;142944;97296;118496;81806;131585;94895
06.08.2016;17,67;18,12;152904;102216;128110;89714;140036;101640
07.08.2016;20,12;19,17;146736;79824;122494;80245;132521;90272
08.08.2016;19,55;19,36;169440;82776;110472;74702;124607;88837
09.08.2016;15,45;17,31;190320;137880;127430;86329;144218;103117
10.08.2016;13,48;15,26;203520;177480;165233;112512;190399;137678
11.08.2016;14,65;14,77;204984;156024;163967;107840;191024;134897
12.08.2016;17,1;15,85;185904;118872;151839;101586;171695;121442
13.08.2016;19,9;18,03;202176;85416;127488;83196;138865;94573
14.08.2016;17,83;18,07;206448;100800;130451;88753;140669;98971
15.08.2016;16,51;17,35;194736;113880;114092;78253;131095;95256
16.08.2016;16,21;16,75;237960;120936;137997;96179;161497;119679
17.08.2016;15,6;16,03;269136;129576;153085;103944;199116;149975
18.08.2016;16,82;16,39;255216;114720;138838;88145;185852;135159
19.08.2016;20,53;18,6;207264;80544;124337;81328;149360;106351
20.08.2016;19,92;19,38;190920;81240;116236;77729;128808;90301
21.08.2016;17,99;18,77;205296;98472;131606;87625;144911;100930
22.08.2016;18,9;18,9;201072;88200;124606;82915;141836;100145
23.08.2016;19,99;19,43;195264;80160;112881;75167;137747;100033
24.08.2016;21,56;20,55;178200;70488;102879;69706;140018;106845
25.08.2016;22,38;21,61;186408;65832;98248;67163;123714;92629
26.08.2016;23,81;22,87;181800;60696;106867;72093;121158;86384
27.08.2016;23,79;23,46;168624;58920;101080;68445;107584;74949
28.08.2016;25,02;24,35;175800;56640;101570;68881;106844;74155
29.08.2016;19,05;21,59;198072;83328;110542;73546;126070;89074
30.08.2016;17,05;19,1;202776;103848;116336;79189;132599;95452
31.08.2016;19,35;19,07;181440;82800;121357;81468;138749;98860
01.09.2016;19,76;19,24;206664;81504;118573;79756;147991;109174
02.09.2016;19,33;19,3;217224;84552;118575;79153;160721;121299
03.09.2016;20,39;19,95;190872;75840;108496;73017;131276;95797
04.09.2016;17,72;18,78;191064;98544;115314;78633;128312;91631
05.09.2016;16,76;17,67;210144;112224;126125;84636;138064;96575
06.09.2016;16,48;16,98;216600;116880;132063;90622;146061;104620
07.09.2016;18,55;17,7;174816;92880;115365;82377;135478;102490
08.09.2016;21,5;19,73;195960;73296;102245;71566;137486;106807
09.09.2016;19,59;19,75;193896;82920;98334;69350;133961;104977
10.09.2016;21,03;20,54;158616;70968;78572;64584;98685;84697
11.09.2016;21,33;21,03;140448;69024;76418;62892;85211;71685
12.09.2016;22;21,53;166368;66624;101530;71305;113425;83200
13.09.2016;22,16;21,93;176496;65544;99732;70819;117402;88489
14.09.2016;21,23;21,59;161592;69264;99974;69626;114263;83915
